City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1135,sajokaza,HU,48.2833,20.5833,21.99,79,90,4.61,overcast clouds
1136,pinsk,BY,52.1229,26.0951,-1.44,92,31,2.17,scattered clouds
1137,cuartero,PH,11.3407,122.6694,73.24,94,100,7.76,moderate rain
1138,gravdal,NO,68.1214,13.5031,19.4,93,20,2.3,few clouds
1139,constantine,DZ,36.365,6.6147,35.6,87,0,2.3,clear sky
1140,palmerston,AU,-12.486,130.9833,78.8,94,90,9.22,moderate rain
1141,strelka,RU,58.0728,93.0344,8.89,94,100,9.95,overcast clouds
1142,teguldet,RU,57.3064,88.1667,-0.26,92,100,8.28,overcast clouds
1143,alakurtti,RU,66.9672,30.3491,8.04,94,85,4.07,overcast clouds
1144,bogande,BF,12.9714,-0.1436,72.63,20,0,8.52,clear sky
1145,schwechat,AT,48.1333,16.4667,37.99,70,20,13.8,few clouds
1146,victoria,HK,22.2855,114.1577,57.0,64,56,17.78,broken clouds
1147,sungai besar,MY,3.6746,100.9867,75.2,88,20,5.39,few clouds
1148,ust-ilimsk,RU,58.0006,102.6619,15.93,95,100,13.29,light snow
1149,porto san giorgio,IT,43.1827,13.7934,37.99,26,47,5.32,scattered clouds
1150,ingham,US,42.6,-84.3833,30.0,93,90,8.05,light snow
1151,parkes,AU,-33.1333,148.1833,75.0,37,0,5.99,clear sky
1152,derzhavinsk,KZ,51.1,66.3167,0.23,91,82,9.66,broken clouds
1153,grogol,ID,-7.6011,110.8186,74.12,91,98,3.67,overcast clouds
1154,mushie,CD,-3.0167,16.9,72.66,93,97,2.55,overcast clouds
1155,beipiao,CN,41.7919,120.7792,-2.38,76,36,6.8,scattered clouds
1156,tongren,CN,27.7172,109.1853,40.35,71,0,0.83,clear sky
1157,khorinsk,RU,52.1657,109.7726,-15.18,87,66,0.58,broken clouds
1158,ambovombe,MG,-25.1667,46.0833,76.51,92,100,4.43,overcast clouds
1159,bayir,TR,37.2687,28.2167,32.0,74,0,4.61,clear sky
1160,saint-pierre,RE,-21.3393,55.4781,78.8,73,0,5.75,clear sky
1161,nagato,JP,34.3833,131.2,37.4,60,75,4.61,broken clouds
1162,guangshui,CN,31.6199,113.9978,37.8,73,0,3.29,clear sky
1163,miandrivazo,MG,-19.5167,45.4667,76.35,83,100,5.84,light rain
1164,sueyoshi,JP,31.65,131.0167,42.8,80,20,8.05,few clouds
1165,mayumba,GA,-3.432,10.6554,78.8,82,100,5.99,overcast clouds
1166,sungaipenuh,ID,-2.0833,101.3833,61.12,91,94,3.8,heavy intensity rain
1167,hirna,ET,9.2167,41.1,56.07,50,28,3.13,scattered clouds
1168,robat karim,IR,35.4846,51.0829,46.4,52,0,11.5,clear sky
1169,gariadhar,IN,21.5333,71.5833,60.35,36,0,6.11,clear sky
1170,afsin,TR,38.2477,36.914,18.88,90,100,3.11,light snow
1171,lityn,UA,49.3251,28.0809,1.04,93,90,5.57,overcast clouds
1172,chino,US,34.0122,-117.6889,80.6,12,20,12.66,few clouds
1173,suifenhe,CN,44.4,131.1667,-19.43,82,0,8.5,clear sky
1174,fomboni,KM,-12.28,43.7425,83.1,76,100,12.59,overcast clouds
1175,poros,GR,37.4994,23.4536,39.99,69,84,4.0,broken clouds
1176,taitung,TW,22.7583,121.1444,59.0,72,75,6.91,broken clouds
1177,mongoumba,CF,3.6415,18.5936,73.53,39,1,2.62,clear sky
1178,kidal,ML,18.4411,1.4078,67.05,24,0,12.95,clear sky
1179,phek,IN,25.6667,94.5,38.66,100,6,1.54,clear sky
1180,katsuura,JP,35.1333,140.3,46.4,53,20,20.71,few clouds
1181,vao,NC,-22.6667,167.4833,77.94,89,95,11.83,overcast clouds
1182,allada,BJ,6.6655,2.1514,82.4,83,40,11.5,scattered clouds
1183,porosozero,RU,62.7191,32.727,13.69,97,100,6.87,overcast clouds
1184,goldap,PL,54.3063,22.3036,4.71,93,87,7.45,overcast clouds
1185,lumphat,KH,13.4878,106.9816,56.71,76,41,3.85,scattered clouds
1186,baykit,RU,61.67,96.37,-17.7,83,100,3.24,overcast clouds
1187,muromtsevo,RU,56.3724,75.2418,-11.65,89,38,7.81,scattered clouds
1188,anzio,IT,41.4853,12.6179,45.0,81,0,5.75,clear sky
1189,makhinjauri,GE,41.6739,41.694,35.6,93,90,8.05,moderate rain
1190,warrnambool,AU,-38.3833,142.4833,62.01,60,25,1.01,scattered clouds
1191,rasht,IR,37.2808,49.5832,50.65,79,0,4.12,clear sky
1192,nishihara,JP,26.1842,127.7558,57.2,54,20,4.61,few clouds
1193,bintulu,MY,3.1667,113.0333,77.0,94,40,1.14,light rain
1194,shanhetun,CN,44.7,127.2,-21.66,85,2,6.24,clear sky
1195,chongwe,ZM,-15.3292,28.682,68.43,91,100,1.61,light rain
1196,soyo,AO,-6.1349,12.3689,79.47,79,56,7.85,broken clouds
